May 4, 2019 at 11:30:10 AM
ONSET PROD LOG FILE
S0004_B3
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
16	16	readRepeat	echolalia	208868.943413458	Only the best players enjoy popularity.	Only the best players enjoy popularity.	0
16	16	listen	echolalia	208875.77708925	Only the best players enjoy popularity.	Only the best players enjoy popularity.	0
17	17	readRepeat	echolalia	208883.842228875	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
17	17	listen	echolalia	208889.211282125	Calcium makes bones and teeth strong.	Calcium makes bones and teeth strong.	0
18	18	readRepeat	echolalia	208895.643981541	Nothing is as offensive as innocence.	Nothing is as offensive as innocence.	0
18	18	listen	echolalia	208901.162175958	Nothing is as offensive as innocence.	Nothing is as offensive as innocence.	0
19	19	readRepeat	echolalia	208907.262020333	Steve wore a bright red cashmere sweater.	Steve wore a bright red cashmere sweater.	0
19	19	listen	echolalia	208913.128721875	Steve wore a bright red cashmere sweater.	Steve wore a bright red cashmere sweater.	0
20	20	readRepeat	echolalia	208920.712886875	Barb's gold bracelet was a graduation present.	Barb's gold bracelet was a graduation present.	0
20	20	listen	echolalia	208926.579868916	Barb's gold bracelet was a graduation present.	Barb's gold bracelet was a graduation present.	0
0	0	break	break	208933.413540791	break	break	break
1	21	readRepeat	shuffled	208933.413540791	Are your grades higher or lower than Nancy's?	Are you looking for employment?	0
1	21	listen	shuffled	208953.148003333	Are your grades higher or lower than Nancy's?	Are you looking for employment?	0
2	22	readRepeat	shuffled	208957.949495791	She wore warm, fleecy, woolen overalls.	The frightened child was gently subdued by his big brother.	0
2	22	listen	shuffled	208962.998924291	She wore warm, fleecy, woolen overalls.	The frightened child was gently subdued by his big brother.	0
3	23	readRepeat	shuffled	208969.415682166	Reading in poor light gives you eyestrain.	Mum strongly dislikes appetizers.	0
3	23	listen	shuffled	208974.082450833	Reading in poor light gives you eyestrain.	Mum strongly dislikes appetizers.	0
4	24	readRepeat	shuffled	208980.465893041	Even I occasionally get the Monday blues!	Barb's gold bracelet was a graduation present.	0
4	24	listen	shuffled	208985.266877041	Even I occasionally get the Monday blues!	Barb's gold bracelet was a graduation present.	0
5	25	readRepeat	shuffled	208991.983835375	We are open every Monday evening.	A crab challenged me, but a quick stab vanquished him.	0
5	25	listen	shuffled	208996.28363175	We are open every Monday evening.	A crab challenged me, but a quick stab vanquished him.	0
6	26	readRepeat	shuffled	209004.38220925	It's not easy to create illuminating examples.	Calcium makes bones and teeth strong.	0
6	26	listen	shuffled	209009.617647916	It's not easy to create illuminating examples.	Calcium makes bones and teeth strong.	0
7	27	readRepeat	shuffled	209015.601060416	Mum strongly dislikes appetizers.	Those who teach values first abolish cheating.	0
7	27	listen	shuffled	209020.2522585	Mum strongly dislikes appetizers.	Those who teach values first abolish cheating.	0
8	28	readRepeat	shuffled	209026.402210916	Those who teach values first abolish cheating.	She wore warm, fleecy, woolen overalls.	0
8	28	listen	shuffled	209031.169157708	Those who teach values first abolish cheating.	She wore warm, fleecy, woolen overalls.	0
9	29	readRepeat	shuffled	209037.719519166	The frightened child was gently subdued by his big brother.	Only the best players enjoy popularity.	0
9	29	listen	shuffled	209043.019633125	The frightened child was gently subdued by his big brother.	Only the best players enjoy popularity.	0
10	30	readRepeat	shuffled	209050.670497208	Even a simple vocabulary contains symbols.	Even a simple vocabulary contains symbols.	0
10	30	listen	shuffled	209055.353120625	Even a simple vocabulary contains symbols.	Even a simple vocabulary contains symbols.	0
11	31	readRepeat	shuffled	209061.270502916	A crab challenged me, but a quick stab vanquished him.	Even I occasionally get the Monday blues!	0
11	31	listen	shuffled	209066.937368708	A crab challenged me, but a quick stab vanquished him.	Even I occasionally get the Monday blues!	0
12	32	readRepeat	shuffled	209072.45504375	Glucose and fructose are natural sugars found in fruit.	Are your grades higher or lower than Nancy's?	0
12	32	listen	shuffled	209079.071694333	Glucose and fructose are natural sugars found in fruit.	Are your grades higher or lower than Nancy's?	0
13	33	readRepeat	shuffled	209082.121872333	Are you looking for employment?	Reading in poor light gives you eyestrain.	0
13	33	listen	shuffled	209086.322228041	Are you looking for employment?	Reading in poor light gives you eyestrain.	0
14	34	readRepeat	shuffled	209091.589402833	Coffee is grown on steep, jungle-like slopes in temperate zones.	Nothing is as offensive as innocence.	0
14	34	listen	shuffled	209097.122601916	Coffee is grown on steep, jungle-like slopes in temperate zones.	Nothing is as offensive as innocence.	0
15	35	readRepeat	shuffled	209103.172912375	We welcome many new students each year.	We are open every Monday evening.	0
15	35	listen	shuffled	209107.590301416	We welcome many new students each year.	We are open every Monday evening.	0
16	36	readRepeat	shuffled	209112.756887375	Only the best players enjoy popularity.	Steve wore a bright red cashmere sweater.	0
16	36	listen	shuffled	209118.00749525	Only the best players enjoy popularity.	Steve wore a bright red cashmere sweater.	0
17	37	readRepeat	shuffled	209124.574379708	Calcium makes bones and teeth strong.	It's not easy to create illuminating examples.	0
17	37	listen	shuffled	209129.191324916	Calcium makes bones and teeth strong.	It's not easy to create illuminating examples.	0
18	38	readRepeat	shuffled	209137.158747958	Nothing is as offensive as innocence.	We welcome many new students each year.	0
18	38	listen	shuffled	209141.808961791	Nothing is as offensive as innocence.	We welcome many new students each year.	0
19	39	readRepeat	shuffled	209147.692189583	Steve wore a bright red cashmere sweater.	Glucose and fructose are natural sugars found in fruit.	0
19	39	listen	shuffled	209152.691372916	Steve wore a bright red cashmere sweater.	Glucose and fructose are natural sugars found in fruit.	0
20	40	readRepeat	shuffled	209160.409544291	Barb's gold bracelet was a graduation present.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0
20	40	listen	shuffled	209165.691607833	Barb's gold bracelet was a graduation present.	Coffee is grown on steep, jungle-like slopes in temperate zones.	0

